Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-07-22 00:00:00-04:00,27.500810656485253,27.613635284122072,26.57941640504992,26.899084091186523,3696800,0.0,0.0
2022-07-25 00:00:00-04:00,27.01190671153117,27.05891771987682,26.57941619447083,26.72044563293457,5737500,0.0,0.0
2022-07-26 00:00:00-04:00,26.720448321088462,26.82387075656688,26.269153355288292,26.39137840270996,4989400,0.0,0.0
2022-07-27 00:00:00-04:00,24.670812737981603,26.316160400636253,24.63320572391569,26.05290412902832,9765100,0.0,0.0
2022-07-28 00:00:00-04:00,26.297356824384224,26.588819710677203,25.977689124976028,26.325563430786133,6107600,0.0,0.0
2022-07-29 00:00:00-04:00,26.287951986680245,26.56061044136917,26.06230453794795,26.35376739501953,4907700,0.0,0.0
2022-08-01 00:00:00-04:00,26.203334444588126,26.5230003025825,26.005891816074026,26.30675506591797,3556800,0.0,0.0
2022-08-02 00:00:00-04:00,26.231542377379654,26.344367006150666,25.88366987580176,26.05290412902832,4005500,0.0,0.0
2022-08-03 00:00:00-04:00,26.118718717945317,26.588818035302445,25.930678273687832,26.52300262451172,2741000,0.0,0.0
2022-08-04 00:00:00-04:00,26.588819235072926,26.62642624964942,26.146924709114153,26.250347137451172,2859400,0.0,0.0
2022-08-05 00:00:00-04:00,26.081111843846873,26.372572940079255,25.8648665722321,26.36317253112793,2897400,0.0,0.0
2022-08-08 00:00:00-04:00,26.65463114116013,26.70164035467885,26.259747650428626,26.428983688354492,2962200,0.0,0.0
2022-08-09 00:00:00-04:00,26.410180361172177,26.42898476466008,26.024699056103216,26.156326293945312,2550600,0.0,0.0
2022-08-10 00:00:00-04:00,26.588816359373503,27.09652265760877,26.381971525070664,27.00250244140625,2582600,0.0,0.0
2022-08-11 00:00:00-04:00,27.049515503918272,27.369183187353393,26.823868043838175,27.02130889892578,2516000,0.0,0.0
2022-08-12 00:00:00-04:00,27.152934296576152,27.56662217534712,27.049513671848274,27.181140899658203,1676400,0.0,0.0
2022-08-15 00:00:00-04:00,26.936690830968598,27.34097653540018,26.75805258622954,27.303369522094727,2809600,0.0,0.0
2022-08-16 00:00:00-04:00,27.246954737939344,27.538417592327903,27.13413191125503,27.359779357910156,2140000,0.0,0.0
2022-08-17 00:00:00-04:00,27.06831847469892,27.265759319337285,26.758051216061755,27.09652328491211,1794900,0.0,0.0
2022-08-18 00:00:00-04:00,27.425594189710367,28.459813044417626,27.322171766253668,28.450410842895508,4821500,0.0,0.0
2022-08-19 00:00:00-04:00,28.281174444448027,28.34698806098403,27.75466371887343,27.952104568481445,2815800,0.0,0.0
2022-08-22 00:00:00-04:00,27.566624440016138,27.651242462927392,27.209349738058233,27.2375545501709,1861600,0.0,0.0
2022-08-23 00:00:00-04:00,27.228149858934398,27.641837733867913,27.218749451280733,27.284563064575195,2000700,0.0,0.0
2022-08-24 00:00:00-04:00,27.256359100341797,27.472604363039355,27.068320443195216,27.256359100341797,1551400,0.0,0.0
2022-08-25 00:00:00-04:00,27.416192616535284,28.63845014983784,27.406790414797683,28.563234329223633,6706500,0.0,0.0
2022-08-26 00:00:00-04:00,28.553832758961498,28.629048576515295,27.547818733410498,27.632436752319336,3402200,0.0,0.0
2022-08-29 00:00:00-04:00,27.463200681284885,27.85808417128633,27.171739612777273,27.61363410949707,5622400,0.0,0.0
2022-08-30 00:00:00-04:00,27.745263403253762,27.829881428347512,27.087123606588314,27.1905460357666,3357700,0.0,0.0
2022-08-31 00:00:00-04:00,27.417842422021128,27.749317474128368,26.868538584581703,26.915891647338867,5695500,0.21,0.0
2022-09-01 00:00:00-04:00,26.74541708184023,26.830654037856576,26.177171310532433,26.65070915222168,4193300,0.0,0.0
2022-09-02 00:00:00-04:00,26.991658601348952,27.152661549472793,26.37605973137084,26.527591705322266,3256600,0.0,0.0
2022-09-06 00:00:00-04:00,26.650710972231565,26.707536817725508,26.02564112302725,26.290822982788086,4090400,0.0,0.0
2022-09-07 00:00:00-04:00,26.338175022241135,26.707535777957418,26.158231937726693,26.69806480407715,2793100,0.0,0.0
2022-09-08 00:00:00-04:00,26.518121373985057,27.304194185314895,26.442355385172675,27.17160415649414,3253000,0.0,0.0
2022-09-09 00:00:00-04:00,27.370488536032724,27.60725747113059,27.256840458771777,27.503080368041992,2210000,0.0,0.0
2022-09-12 00:00:00-04:00,27.73037750374425,28.175502438176547,27.635669571242776,27.853496551513672,2655700,0.0,0.0
2022-09-13 00:00:00-04:00,27.361016543161437,27.408371412260077,26.44235375949045,26.53706169128418,2694400,0.0,0.0
2022-09-14 00:00:00-04:00,26.5275876573159,26.75488558355826,26.328700842851745,26.56546974182129,4032300,0.0,0.0
2022-09-15 00:00:00-04:00,26.565471031295488,26.830652861318367,26.3665860135809,26.499176025390625,3082200,0.0,0.0
2022-09-16 00:00:00-04:00,26.25293693732501,26.25293693732501,25.694162147188568,26.148759841918945,6617200,0.0,0.0
2022-09-19 00:00:00-04:00,25.73204924986481,26.101408229388955,25.50475127735736,25.864639282226562,3813300,0.0,0.0
2022-09-20 00:00:00-04:00,25.637340453213632,25.68469532490628,25.28692343470628,25.457395553588867,2978500,0.0,0.0
2022-09-21 00:00:00-04:00,25.599455069739,25.89304801085779,24.964914321899414,24.964914321899414,3429800,0.0,0.0
2022-09-22 00:00:00-04:00,24.879678421943954,25.02173941194841,24.661851450176886,24.93650245666504,4276600,0.0,0.0
2022-09-23 00:00:00-04:00,24.82285325972247,25.012269122511253,24.62396822955744,24.983856201171875,3270000,0.0,0.0
2022-09-26 00:00:00-04:00,24.95544605108766,25.30586306247046,24.586085285009304,24.595556259155273,3910800,0.0,0.0
2022-09-27 00:00:00-04:00,24.993328933500987,25.125920769343814,24.368259071282584,24.642911911010742,2708800,0.0,0.0
2022-09-28 00:00:00-04:00,24.7660279226689,25.495276607779005,24.747085976104195,25.26797866821289,2765900,0.0,0.0
2022-09-29 00:00:00-04:00,25.01226756950378,25.05962062905906,24.491376688781973,24.728145599365234,2668900,0.0,0.0
2022-09-30 00:00:00-04:00,24.794443439266328,25.26798131455742,24.728148425750156,24.737619400024414,3139300,0.0,0.0
2022-10-03 00:00:00-04:00,25.088039012303756,25.48581094096649,25.00280204141861,25.16380500793457,3974900,0.0,0.0
2022-10-04 00:00:00-04:00,25.59945959215689,26.17717460333359,25.571046667776237,26.16770362854004,2395000,0.0,0.0
2022-10-05 00:00:00-04:00,25.826751240926875,26.27187610875419,25.713101377650062,26.120344161987305,2133600,0.0,0.0
2022-10-06 00:00:00-04:00,26.044582229716795,26.338175196331512,25.921463181266617,26.08246612548828,2435300,0.0,0.0
2022-10-07 00:00:00-04:00,25.788871187847164,25.845697031141643,25.211156232248438,25.324804306030273,2317100,0.0,0.0
2022-10-10 00:00:00-04:00,25.618396292528534,25.618396292528534,24.623967556093834,24.93650245666504,2767400,0.0,0.0
2022-10-11 00:00:00-04:00,24.756559970516424,25.059623926921866,24.35878807613336,24.44402503967285,2696700,0.0,0.0
2022-10-12 00:00:00-04:00,24.652382413461048,24.784972440361624,24.444024592441696,24.538732528686523,2448300,0.0,0.0
2022-10-13 00:00:00-04:00,24.150432523193274,25.106979283037216,23.84736856094642,24.927034378051758,7118400,0.0,0.0
2022-10-14 00:00:00-04:00,25.154331864899483,25.381629832203565,24.396671973885876,24.44402503967285,4827200,0.0,0.0
2022-10-17 00:00:00-04:00,24.964914137383758,25.305860135181206,24.936501218232554,25.201683044433594,3415300,0.0,0.0
2022-10-18 00:00:00-04:00,26.129819635237702,26.271880634000794,25.542631885572355,25.98775863647461,3777200,0.0,0.0
2022-10-19 00:00:00-04:00,25.741518121758116,26.262409040403586,25.627868241586317,25.921463012695312,3984600,0.0,0.0
2022-10-20 00:00:00-04:00,25.88357800385985,26.612826703719747,25.78887007552421,26.148759841918945,5330900,0.0,0.0
2022-10-21 00:00:00-04:00,27.12424989131045,27.351547862832724,26.480238068795472,27.237899780273438,5678100,0.0,0.0
2022-10-24 00:00:00-04:00,27.24736912523561,27.446254161021002,26.745418339143026,26.982187271118164,4309200,0.0,0.0
2022-10-25 00:00:00-04:00,26.896948207939648,27.739846768216744,26.830653201194995,27.61672592163086,5274100,0.0,0.0
2022-10-26 00:00:00-04:00,28.41227149963379,28.88580935796102,27.379958823968142,28.41227149963379,6902200,0.0,0.0
2022-10-27 00:00:00-04:00,28.677453994750977,28.866868058494315,28.137619306753248,28.677453994750977,3444500,0.0,0.0
2022-10-28 00:00:00-04:00,28.819511481906858,29.22675428860933,28.469092706761845,29.198341369628906,3213500,0.0,0.0
2022-10-31 00:00:00-04:00,29.037340469241336,29.16993048760204,28.75321848521024,28.98051643371582,3189000,0.0,0.0
2022-11-01 00:00:00-04:00,29.20781197565212,29.44458087830403,28.876335150658768,29.274106979370117,3188600,0.0,0.0
2022-11-02 00:00:00-04:00,29.198342806055145,29.633998553170333,28.50697800114997,28.516448974609375,4906600,0.0,0.0
2022-11-03 00:00:00-04:00,28.17550331887609,28.44068517688846,27.976618280169525,28.260740280151367,2492000,0.0,0.0
2022-11-04 00:00:00-04:00,28.68692572722844,29.027871773540696,28.052384893786964,28.525922775268555,3757900,0.0,0.0
2022-11-07 00:00:00-05:00,28.65851416958031,28.753222111670087,28.14709236613776,28.24180030822754,3553900,0.0,0.0
2022-11-08 00:00:00-05:00,28.364918299578562,28.828985181732953,28.109207423778113,28.45015525817871,4791700,0.0,0.0
2022-11-09 00:00:00-05:00,28.203914695713216,28.260738731314603,27.304192067740875,27.408370971679688,3680100,0.0,0.0
